iter	Passed	Remaining
325	1631	3374
326	1635	3366
327	1639	3359
328	1644	3353
329	1647	3345
330	1651	3337
331	1654	3329
332	1658	3321
333	1662	3315
334	1666	3308
335	1671	3302
336	1675	3295
337	1680	3290
338	1685	3287
339	1690	3282
340	1698	3282
341	1702	3276
342	1708	3271
343	1713	3266
344	1747	3317
345	1760	3327
346	1767	3325
347	1772	3320
348	1778	3318
349	1789	3322
350	1793	3316
351	1800	3314
352	1805	3309
353	1809	3302
354	1813	3295
355	1819	3291
356	1825	3288
357	1836	3294
358	1843	3291
359	1846	3282
360	1851	3276
361	1856	3272
362	1861	3265
363	1865	3258
364	1869	3253
365	1874	3247
366	1878	3239
367	1881	3231
368	1886	3225
369	1890	3218
370	1895	3213
371	1898	3205
372	1901	3196
373	1908	3194
374	1915	3192
375	1919	3186
376	1924	3180
377	1930	3176
378	1934	3170
379	1939	3164
380	1942	3155
381	1947	3150
382	1953	3146
383	1957	3140
384	1961	3133
385	1964	3125
386	1969	3119
387	1973	3112
388	1978	3107
389	1982	3101
390	1988	3096
391	1992	3090
392	1997	3085
393	2001	3077
394	2006	3073
395	2012	3070
396	2018	3065
397	2025	3063
398	2029	3056
399	2037	3056
400	2041	3049
401	2046	3043
402	2050	3037
403	2054	3030
404	2057	3023
405	2062	3017
406	2066	3011
407	2071	3005
408	2075	2998
409	2079	2992
410	2082	2984
411	2086	2977
412	2090	2970
413	2094	2965
414	2099	2959
415	2103	2953
416	2108	2947
417	2112	2940
418	2116	2934
419	2119	2927
420	2124	2921
421	2128	2915
422	2133	2909
423	2138	2904
424	2143	2900
425	2147	2893
426	2152	2888
427	2155	2880
428	2158	2873
429	2162	2867
430	2165	2859
431	2170	2853
432	2175	2848
433	2180	2843
434	2184	2837
435	2188	2831
436	2192	2824
437	2195	2817
438	2200	2811
439	2204	2806
440	2208	2799
441	2212	2793
442	2216	2786
443	2220	2780
444	2225	2775
445	2229	2769
446	2233	2763
447	2239	2759
448	2243	2753
449	2250	2750
450	2254	2743
451	2258	2737
452	2262	2732
453	2267	2727
454	2272	2721
455	2276	2715
456	2280	2710
457	2284	2703
458	2288	2697
459	2293	2691
460	2297	2685
461	2301	2680
462	2305	2673
463	2309	2667
464	2313	2661
465	2318	2657
466	2322	2651
467	2327	2645
468	2331	2639
469	2334	2632
470	2338	2626
471	2342	2620
472	2346	2614
473	2351	2609
474	2354	2602
475	2360	2598
476	2363	2591
477	2369	2587
478	2372	2580
479	2377	2575
480	2380	2568
481	2385	2563
482	2390	2559
483	2395	2553
484	2399	2547
485	2403	2542
486	2408	2536
487	2411	2530
488	2416	2525
489	2419	2517
490	2422	2510
491	2425	2504
492	2430	2499
493	2433	2492
494	2436	2485
495	2440	2479
496	2446	2475
497	2449	2469
498	2454	2464
499	2457	2457
500	2461	2451
501	2466	2446
502	2471	2441
503	2474	2434
504	2478	2429
505	2481	2423
506	2485	2416
507	2488	2410
508	2492	2403
509	2495	2397
510	2501	2393
511	2505	2388
512	2510	2382
513	2514	2377
514	2518	2371
515	2521	2365
516	2527	2361
517	2531	2355
518	2537	2351
519	2541	2345
520	2545	2339
521	2548	2333
522	2552	2327
523	2556	2322
524	2559	2316
525	2563	2309
526	2567	2304
527	2573	2300
528	2577	2294
529	2581	2289
530	2586	2284
531	2590	2278
532	2594	2273
533	2599	2268
534	2606	2265
535	2612	2261
536	2619	2258
537	2628	2256
538	2640	2258
539	2646	2254
540	2655	2252
541	2662	2249
542	2668	2245
543	2673	2241
544	2680	2237
545	2686	2233
546	2691	2229
547	2696	2223
548	2702	2219
549	2706	2214
550	2711	2209
551	2717	2205
552	2720	2199
553	2725	2194
554	2729	2188
555	2733	2183
556	2738	2177
557	2742	2172
558	2747	2167
559	2752	2162
560	2759	2159
561	2763	2153
562	2768	2148
563	2773	2143
564	2780	2140
565	2785	2135
566	2793	2133
567	2798	2128
568	2804	2124
569	2809	2119
570	2814	2114
571	2817	2107
572	2821	2102
573	2826	2097
574	2830	2092
575	2834	2086
576	2839	2081
577	2844	2076
578	2847	2070
579	2851	2064
580	2855	2059
581	2859	2053
582	2863	2048
583	2869	2043
584	2873	2038
585	2877	2033
586	2881	2027
587	2884	2021
588	2888	2015
589	2892	2010
590	2897	2005
591	2902	2000
592	2906	1995
593	2912	1990
594	2916	1984
595	2920	1979
596	2924	1974
597	2930	1969
598	2934	1964
599	2938	1959
600	2944	1955
601	2949	1949
602	2953	1944
603	2956	1938
604	2960	1933
605	2965	1928
606	2969	1922
607	2973	1917
608	2977	1911
609	2983	1907
610	2987	1902
611	2992	1897
612	2997	1892
613	3001	1886
614	3005	1881
615	3010	1876
616	3014	1871
617	3019	1866
618	3023	1860
619	3026	1855
620	3030	1849
621	3034	1844
622	3038	1838
623	3043	1833
624	3047	1828
625	3051	1823
626	3056	1818
627	3060	1813
628	3065	1807
629	3070	1803
630	3074	1797
631	3078	1792
632	3082	1787
633	3087	1782
634	3092	1777
635	3095	1771
636	3099	1766
637	3104	1761
638	3110	1757
639	3115	1752
640	3120	1747
641	3124	1742
642	3130	1737
643	3135	1733
644	3139	1728
645	3144	1723
646	3149	1718
647	3154	1713
648	3159	1708
649	3163	1703
650	3167	1697
651	3172	1693
652	3179	1689
653	3184	1684
654	3190	1680
655	3196	1676
656	3201	1671
657	3207	1667
658	3212	1662
659	3216	1657
660	3221	1652
661	3225	1646
662	3230	1642
663	3234	1636
664	3237	1631
665	3242	1626
666	3247	1621
667	3251	1616
668	3255	1610
669	3259	1605
670	3261	1599
671	3266	1594
672	3270	1589
673	3275	1584
674	3281	1579
675	3285	1574
676	3289	1569
677	3294	1564
678	3298	1559
679	3303	1554
680	3309	1550
681	3315	1546
682	3319	1540
683	3323	1535
684	3327	1530
685	3330	1524
686	3334	1519
687	3337	1513
688	3341	1508
689	3345	1503
690	3349	1497
691	3353	1492
692	3356	1486
693	3360	1481
694	3363	1475
695	3367	1470
696	3370	1465
697	3374	1459
698	3378	1454
699	3381	1449
700	3384	1443
701	3387	1438
702	3390	1432
703	3394	1427
704	3397	1421
705	3401	1416
706	3404	1411
707	3408	1405
708	3412	1400
709	3416	1395
710	3419	1390
711	3423	1384
712	3426	1379
713	3430	1373
714	3433	1368
715	3436	1363
716	3440	1357
717	3443	1352
718	3447	1347
719	3452	1342
720	3456	1337
721	3461	1332
722	3465	1327
723	3469	1322
724	3473	1317
725	3477	1312
726	3482	1307
727	3485	1302
728	3490	1297
729	3493	1292
730	3497	1287
731	3500	1281
732	3504	1276
733	3507	1271
734	3512	1266
735	3515	1260
736	3518	1255
737	3522	1250
738	3526	1245
739	3530	1240
740	3533	1235
741	3537	1229
742	3541	1224
743	3545	1219
744	3548	1214
745	3553	1209
746	3556	1204
747	3561	1199
748	3564	1194
749	3567	1189
750	3570	1183
751	3574	1178
752	3577	1173
753	3580	1168
754	3584	1163
755	3588	1158
756	3591	1152
757	3594	1147
758	3597	1142
759	3600	1137
760	3603	1131
761	3606	1126
762	3609	1121
763	3611	1115
764	3614	1110
765	3616	1104
766	3619	1099
767	3623	1094
768	3625	1089
769	3629	1084
770	3632	1078
771	3634	1073
772	3637	1068
773	3639	1062
774	3642	1057
775	3645	1052
776	3648	1047
777	3650	1041
778	3653	1036
779	3655	1031
780	3658	1025
781	3661	1020
782	3664	1015
783	3667	1010
784	3669	1005
785	3672	999
786	3674	994
787	3677	989
788	3680	984
789	3683	979
790	3686	974
791	3689	969
792	3692	963
793	3695	958
794	3698	953
795	3701	948
796	3704	943
797	3707	938
798	3710	933
799	3713	928
800	3716	923
801	3718	917
802	3721	912
803	3724	907
804	3726	902
805	3728	897
806	3731	892
807	3733	887
808	3736	882
809	3738	876
810	3740	871
811	3743	866
812	3745	861
813	3747	856
814	3749	851
815	3751	845
816	3753	840
817	3755	835
818	3758	830
819	3762	825
820	3765	821
821	3768	816
822	3770	810
823	3772	805
824	3773	800
825	3775	795
826	3777	790
827	3779	785
828	3780	779
829	3782	774
830	3784	769
831	3786	764
832	3788	759
833	3790	754
834	3792	749
835	3794	744
836	3795	739
837	3797	734
838	3798	728
839	3800	723
840	3801	718
841	3803	713
842	3804	708
843	3806	703
844	3807	698
845	3809	693
846	3811	688
847	3813	683
848	3814	678
849	3815	673
850	3817	668
851	3818	663
852	3820	658
853	3821	653
854	3823	648
855	3824	643
856	3825	638
857	3827	633
858	3828	628
859	3830	623
860	3831	618
861	3832	613
862	3834	608
863	3835	603
864	3837	598
865	3838	593
866	3839	589
867	3841	584
868	3842	579
869	3843	574
870	3845	569
871	3846	564
872	3848	559
873	3849	554
874	3850	550
875	3852	545
876	3853	540
877	3854	535
878	3856	530
879	3857	526
880	3858	521
881	3860	516
882	3861	511
883	3862	506
884	3863	502
885	3865	497
886	3866	492
887	3867	487
888	3868	483
889	3870	478
890	3871	473
891	3872	468
892	3874	464
893	3875	459
894	3876	454
895	3878	450
896	3879	445
897	3880	440
898	3881	436
899	3883	431
900	3884	426
901	3885	422
902	3887	417
903	3888	412
904	3889	408
905	3890	403
906	3892	399
907	3893	394
908	3894	389
909	3896	385
910	3897	380
911	3898	376
912	3899	371
913	3901	367
914	3902	362
915	3904	358
916	3905	353
917	3906	348
918	3908	344
919	3909	339
920	3910	335
921	3911	330
922	3913	326
923	3914	321
924	3915	317
925	3917	313
926	3918	308
927	3919	304
928	3920	299
929	3922	295
930	3923	290
931	3925	286
932	3926	281
933	3927	277
934	3928	273
935	3930	268
936	3931	264
937	3932	259
938	3934	255
939	3935	251
940	3936	246
941	3937	242
942	3939	238
943	3940	233
944	3941	229
945	3943	225
946	3944	220
947	3945	216
948	3946	212
949	3948	207
950	3949	203
951	3950	199
952	3952	194
953	3954	190
954	3956	186
955	3957	182
956	3958	177
957	3959	173
958	3961	169
959	3962	165
960	3963	160
961	3965	156
962	3966	152
963	3967	148
964	3969	143
965	3970	139
966	3971	135
967	3973	131
968	3974	127
969	3976	122
970	3977	118
971	3978	114
972	3980	110
973	3981	106
974	3982	102
975	3984	97
976	3985	93
977	3986	89
978	3987	85
979	3989	81
980	3990	77
981	3991	73
982	3992	69
983	3994	64
984	3995	60
985	3996	56
986	3997	52
987	3999	48
988	4000	44
989	4001	40
990	4003	36
991	4004	32
992	4005	28
993	4007	24
994	4008	20
995	4009	16
996	4010	12
997	4012	8
998	4013	4
999	4014	0
993	5192	31
994	5194	26
995	5196	20
996	5197	15
997	5199	10
998	5202	5
999	5204	0
247	0
