iter	Logloss
0	0.6804557747
1	0.669054845
2	0.6573955829
3	0.6451957009
4	0.6333339664
5	0.6225982346
6	0.6115625021
7	0.6009982983
8	0.5901800836
9	0.5810505794
10	0.5718468619
11	0.5616773058
12	0.5522833337
13	0.5414254782
14	0.5322766604
15	0.5235675198
16	0.5139518151
17	0.5070206969
18	0.4993398706
19	0.4925383454
20	0.4839173964
21	0.4753942956
22	0.4670246364
23	0.4597427261
24	0.4521022343
25	0.4444166063
26	0.4366550312
27	0.4283209314
28	0.4225824529
29	0.4156515482
30	0.4095102857
31	0.4026939819
32	0.3965032084
33	0.3900367897
34	0.3842060649
35	0.3780969206
36	0.37181166
37	0.3663760632
38	0.3600383038
39	0.35457363
40	0.3495722417
41	0.343946657
42	0.3388717758
43	0.3344831934
44	0.3299460511
45	0.3254192592
46	0.32034035
47	0.3158700583
48	0.3117886523
49	0.3067610947
50	0.3016854933
51	0.297927643
52	0.2932767801
53	0.2893539375
54	0.2856419703
55	0.2820930481
56	0.2780469614
57	0.2742844161
58	0.2709638689
59	0.2670520702
60	0.2634959454
61	0.2597650114
62	0.2565769382
63	0.2528320526
64	0.2502767389
65	0.2480138765
66	0.2441612457
67	0.2413583769
68	0.2380831258
69	0.2353362504
70	0.2321069891
71	0.2295305479
72	0.2266226548
73	0.2234456389
74	0.2207998529
75	0.2183300632
76	0.2154074982
77	0.2122283882
78	0.2095360122
79	0.2068893459
80	0.2048969402
81	0.202194694
82	0.2001481756
83	0.1977955745
84	0.1952952405
85	0.1929386913
86	0.1904377704
87	0.1882155892
88	0.1854169886
89	0.1831457231
90	0.1808401255
91	0.1787118312
92	0.1764193181
93	0.1745932386
94	0.1721884187
95	0.1700611915
96	0.1681474406
97	0.1662006778
98	0.1648659873
99	0.1630673709
100	0.1613163981
101	0.1596608329
102	0.1580404535
103	0.1561426683
104	0.1542077631
105	0.1522926917
106	0.1508181379
107	0.1492795077
108	0.1477707816
109	0.1460810308
110	0.1444606648
111	0.142950058
112	0.1414670477
113	0.1401629148
114	0.1386651393
115	0.1371579737
116	0.1358431836
117	0.1346463557
118	0.1333328727
119	0.1317828118
120	0.1307070005
121	0.1291880041
122	0.1275945677
123	0.1263002249
124	0.1251202297
125	0.1241313694
126	0.1230902238
127	0.1218667997
128	0.1208274414
129	0.1196624516
130	0.1185061048
131	0.1175335704
132	0.1166719957
133	0.1156056277
134	0.1146224762
135	0.11357969
136	0.1124911942
137	0.1114813665
138	0.1105523276
139	0.109551163
140	0.1082809822
141	0.1073269344
142	0.1063483045
143	0.1049846836
144	0.1040433537
145	0.103135229
146	0.1024402805
147	0.1018172978
148	0.1011377881
149	0.1003958562
150	0.09974963848
151	0.09867777524
152	0.09793193524
153	0.09687331006
154	0.09608736905
155	0.09548567392
156	0.09472538875
157	0.0938641008
158	0.0931762882
159	0.09234780532
160	0.09142527547
161	0.09061681307
162	0.08974340746
